"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","sex","state","year"
"1",0,1,0,"All other causes",0.00150014485584882,0.00165880791934801,0.00154437810845117,"Male","Alabama",1969
"2",0,1,0,"Cancers",-5.7592357727606e-05,8.57490235984513e-05,-8.1008477577023e-06,"Male","Alabama",1969
"3",0,1,0,"Cardiovascular",-0.000720207089568069,-0.000350379546620564,-0.000589302355158016,"Male","Alabama",1969
"4",0,1,0,"Communicable",0.000328705756636627,0.00044003281486468,0.00036823620025408,"Male","Alabama",1969
"5",0,1,0,"Injuries",0.00090659296029882,0.00103628484804782,0.000946360954768329,"Male","Alabama",1969
"6",0,1,0,"Non-communicable",-5.97141352279771e-05,1.20451498757661e-05,-3.52932355760084e-05,"Male","Alabama",1969
"7",0,1,1,"All other causes",0.00117287116078531,0.00129318357004728,0.00121565686403033,"Female","Alabama",1969
"8",0,1,1,"Cancers",0.000131315795307453,0.000219147528106335,0.000167056508064099,"Female","Alabama",1969
"9",0,1,1,"Cardiovascular",0.00113330948016162,0.00142461812285446,0.00124049528109976,"Female","Alabama",1969
"10",0,1,1,"Communicable",4.86630317221607e-05,0.00010315669771488,6.71217046860776e-05,"Female","Alabama",1969
"11",0,1,1,"Injuries",8.73517440073293e-05,0.00013807207402528,0.000100857989011594,"Female","Alabama",1969
"12",0,1,1,"Non-communicable",0.000274165087992368,0.000329365365233876,0.000290160019965854,"Female","Alabama",1969
"13",0,2,0,"All other causes",0.00141670706283401,0.00156209163235377,0.00146091632794726,"Male","Alabama",1970
"14",0,2,0,"Cancers",-3.31047743700806e-05,8.70771488888145e-05,6.5598712841911e-06,"Male","Alabama",1970
"15",0,2,0,"Cardiovascular",-0.000757860091430674,-0.000448890285344702,-0.000646793404768054,"Male","Alabama",1970
"16",0,2,0,"Communicable",0.000278978677754662,0.000370760286584122,0.000309246945061173,"Male","Alabama",1970
"17",0,2,0,"Injuries",0.00092295569529109,0.00103394939930454,0.000956957206477517,"Male","Alabama",1970
"18",0,2,0,"Non-communicable",-5.97530628000112e-05,1.16010572935349e-05,-3.40352890939564e-05,"Male","Alabama",1970
"19",0,2,1,"All other causes",0.00113514244188485,0.00123998423705553,0.00117403054514841,"Female","Alabama",1970
"20",0,2,1,"Cancers",0.000151651222437914,0.000220890192731226,0.000176383456110427,"Female","Alabama",1970
"21",0,2,1,"Cardiovascular",0.00108012605672626,0.00132057040534002,0.00116111825641563,"Female","Alabama",1970
"22",0,2,1,"Communicable",7.3582548873006e-05,0.000121536766717855,8.86832290634621e-05,"Female","Alabama",1970
"23",0,2,1,"Injuries",8.81933904166254e-05,0.000136598776592431,0.000105112344992861,"Female","Alabama",1970
"24",0,2,1,"Non-communicable",0.000298912646411298,0.000350504864288202,0.000314375627041948,"Female","Alabama",1970
"25",0,3,0,"All other causes",0.00143529754934769,0.00157904617883976,0.00148112052153847,"Male","Alabama",1971
"26",0,3,0,"Cancers",3.82620566491469e-06,0.000116749168865285,3.85864879544374e-05,"Male","Alabama",1971
"27",0,3,0,"Cardiovascular",-0.00088734950989605,-0.000570398147838789,-0.000762831225275555,"Male","Alabama",1971
"28",0,3,0,"Communicable",0.000202660765017708,0.000284269290049843,0.000230054543860376,"Male","Alabama",1971
"29",0,3,0,"Injuries",0.000926734843639174,0.00103919090068554,0.000963392422829724,"Male","Alabama",1971
"30",0,3,0,"Non-communicable",-4.89425383872209e-05,1.4249268274684e-05,-2.64446519364597e-05,"Male","Alabama",1971
"31",0,3,1,"All other causes",0.00107732203311747,0.00116857956404593,0.00110711663741615,"Female","Alabama",1971
"32",0,3,1,"Cancers",0.000150307258041633,0.000214575308369662,0.000171293739355729,"Female","Alabama",1971
"33",0,3,1,"Cardiovascular",0.00087504165795204,0.00109376510893698,0.000949744486099159,"Female","Alabama",1971
"34",0,3,1,"Communicable",7.23110488107765e-05,0.000114110252675185,8.44476237343686e-05,"Female","Alabama",1971
"35",0,3,1,"Injuries",9.28541030888493e-05,0.000134627042429351,0.000106603801649898,"Female","Alabama",1971
"36",0,3,1,"Non-communicable",0.000311877422157081,0.000359421347596451,0.000327346081847827,"Female","Alabama",1971
"37",0,4,0,"All other causes",0.00151205764525739,0.0016492869162293,0.00156539610226171,"Male","Alabama",1972
"38",0,4,0,"Cancers",1.51288709847707e-05,0.000125942778992397,5.39327003643526e-05,"Male","Alabama",1972
"39",0,4,0,"Cardiovascular",-0.000760742387571953,-0.000493419839152114,-0.000668134320951532,"Male","Alabama",1972
"40",0,4,0,"Communicable",0.000158043979061208,0.000239173348923352,0.000183601751590508,"Male","Alabama",1972
"41",0,4,0,"Injuries",0.00089500229086926,0.00100639387803422,0.000928564591640504,"Male","Alabama",1972
"42",0,4,0,"Non-communicable",-3.95531331180017e-05,1.69125499805448e-05,-2.39728039619364e-05,"Male","Alabama",1972
"43",0,4,1,"All other causes",0.00109280090333734,0.00118397098321353,0.00112584681612664,"Female","Alabama",1972
"44",0,4,1,"Cancers",0.000141276823503715,0.000200982782065547,0.000158721208358023,"Female","Alabama",1972
"45",0,4,1,"Cardiovascular",0.000781018413141219,0.000993528981676705,0.000844994450297995,"Female","Alabama",1972
"46",0,4,1,"Communicable",6.66364838333176e-05,0.000108509358628582,8.05239901436934e-05,"Female","Alabama",1972
"47",0,4,1,"Injuries",8.58012967209496e-05,0.000126327048333332,9.75834776017748e-05,"Female","Alabama",1972
"48",0,4,1,"Non-communicable",0.000321084245576074,0.000369988486458354,0.000341277347417366,"Female","Alabama",1972
"49",0,5,0,"All other causes",0.00152533374610432,0.0016587821170999,0.0015682752248971,"Male","Alabama",1973
"50",0,5,0,"Cancers",7.15384899693453e-05,0.000184491480042952,0.000106328015141233,"Male","Alabama",1973
"51",0,5,0,"Cardiovascular",-0.000692243478668845,-0.000392902785375107,-0.000595172875783223,"Male","Alabama",1973
"52",0,5,0,"Communicable",0.00013748638790681,0.000213274062892747,0.000160311240692848,"Male","Alabama",1973
"53",0,5,0,"Injuries",0.000880346617900086,0.000988571072120297,0.000920576572296991,"Male","Alabama",1973
"54",0,5,0,"Non-communicable",-4.02181624281986e-05,1.55201653163408e-05,-2.18573230056153e-05,"Male","Alabama",1973
"55",0,5,1,"All other causes",0.00108547337008533,0.00117801498569513,0.00111739839487604,"Female","Alabama",1973
"56",0,5,1,"Cancers",0.00012487235227111,0.000185121771134314,0.000144328868448382,"Female","Alabama",1973
"57",0,5,1,"Cardiovascular",0.000694049912807324,0.000917439857800722,0.000772670303903659,"Female","Alabama",1973
"58",0,5,1,"Communicable",5.41066126143083e-05,9.42556651605892e-05,6.56469267188556e-05,"Female","Alabama",1973
"59",0,5,1,"Injuries",8.17338884443072e-05,0.000119137300932039,9.29145224846916e-05,"Female","Alabama",1973
"60",0,5,1,"Non-communicable",0.000318008217592941,0.000368256073227137,0.000337348167330414,"Female","Alabama",1973
"61",0,6,0,"All other causes",0.00153012285866864,0.00166273286174347,0.00157130218509287,"Male","Alabama",1974
"62",0,6,0,"Cancers",8.63458295540077e-05,0.000210943675176886,0.000133293324821211,"Male","Alabama",1974
