"","state.n","year.n","sex.n","COD","rate.difference_LCL","rate.difference_med","rate.difference_UCL","sex","state","year","Census_Division","Census_Region","stabbrs","state.reorder"
"1",5,1,0,"All other causes",20.4578886364968,60.2465466514395,114.661736528831,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"2",5,1,0,"Cancers",54.8850084720129,107.174476062669,176.934912271152,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"3",5,1,0,"Cardiovascular",-117.428330914109,-40.1678180503372,50.8338971010185,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"4",5,1,0,"Communicable",2.52928110779637,35.3138222857907,86.4113091186647,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"5",5,1,0,"Injuries",-1.38861470523098,21.8251289442751,51.0705818838588,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"6",5,1,0,"Non-communicable",3.88238214510031,42.6654836270677,85.4602187171686,"Male","Colorado",1969,"Mountain","West","CO","Colorado"
"7",5,1,1,"All other causes",16.1695409360256,41.3842793370307,76.8366038787661,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"8",5,1,1,"Cancers",6.38996985169321,36.5423510810877,76.6505957027144,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"9",5,1,1,"Cardiovascular",8.98753609677896,79.5020602364596,168.329204332422,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"10",5,1,1,"Communicable",-13.0527520968524,-1.01082939203075,20.8279582386308,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"11",5,1,1,"Injuries",-4.42650680993005,8.83450906687817,29.8809461086422,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"12",5,1,1,"Non-communicable",15.0555541938199,32.1225274395218,53.575774134688,"Female","Colorado",1969,"Mountain","West","CO","Colorado"
"13",5,2,0,"All other causes",17.5196450030395,53.4443232557311,102.014226925987,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"14",5,2,0,"Cancers",55.6465159098081,106.039150679738,167.012668824186,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"15",5,2,0,"Cardiovascular",-112.812567054985,-34.0040919327161,50.6412837884489,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"16",5,2,0,"Communicable",-0.634249624225222,30.6764683115821,71.439839758507,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"17",5,2,0,"Injuries",-0.301631485141418,20.7943627070724,50.5390553249183,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"18",5,2,0,"Non-communicable",0.145764453101274,40.4779022475066,79.7125934780218,"Male","Colorado",1970,"Mountain","West","CO","Colorado"
"19",5,2,1,"All other causes",14.6333883935337,39.4657502545849,72.8885204983642,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"20",5,2,1,"Cancers",7.43444137991125,36.2308797609225,74.9197551198879,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"21",5,2,1,"Cardiovascular",28.5200227046488,87.6601018252435,156.715619990374,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"22",5,2,1,"Communicable",-8.79181655084579,2.21588016095492,20.3670926161275,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"23",5,2,1,"Injuries",-3.96698951296146,8.65203826414853,28.2015936870367,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"24",5,2,1,"Non-communicable",14.2280471971625,30.773467330329,51.3246348608523,"Female","Colorado",1970,"Mountain","West","CO","Colorado"
"25",5,3,0,"All other causes",18.9041839244918,50.367673631044,95.2206910266093,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"26",5,3,0,"Cancers",55.6199255126586,102.564000173425,159.843538303738,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"27",5,3,0,"Cardiovascular",-107.806022201607,-37.3728835464406,43.4395441997417,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"28",5,3,0,"Communicable",2.538442252436,30.1988914491119,64.8896225567011,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"29",5,3,0,"Injuries",1.63153600797978,21.4409757745139,47.1169844020321,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"30",5,3,0,"Non-communicable",-2.53536720895404,34.7954070636801,72.8816502261507,"Male","Colorado",1971,"Mountain","West","CO","Colorado"
"31",5,3,1,"All other causes",17.5193656339786,42.2336662268363,74.2078458604787,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"32",5,3,1,"Cancers",9.75027612058031,35.831116857761,71.9055295202253,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"33",5,3,1,"Cardiovascular",22.6560827105557,80.191711635142,153.273074956904,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"34",5,3,1,"Communicable",-8.36783924578376,2.00962251646798,18.4554264068826,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"35",5,3,1,"Injuries",-4.08554804333187,7.81583507814787,25.7241777312418,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"36",5,3,1,"Non-communicable",14.4556909048195,30.0862125698939,49.6432543004968,"Female","Colorado",1971,"Mountain","West","CO","Colorado"
"37",5,4,0,"All other causes",22.3683348512868,53.2684282543331,98.9317466798412,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"38",5,4,0,"Cancers",55.5821411436434,100.843398785371,156.494924477794,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"39",5,4,0,"Cardiovascular",-107.872844892423,-36.2922328482286,37.5568029286756,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"40",5,4,0,"Communicable",0.873685777690925,29.7049540814238,64.8459397352508,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"41",5,4,0,"Injuries",1.28200668761689,20.9196803448015,45.0023881485686,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"42",5,4,0,"Non-communicable",-4.98143218174756,30.5372043326736,63.4529707095667,"Male","Colorado",1972,"Mountain","West","CO","Colorado"
"43",5,4,1,"All other causes",21.0786374825514,45.8312204905292,75.6753339936775,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"44",5,4,1,"Cancers",8.8261297297902,34.5379323618272,67.4109942975701,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"45",5,4,1,"Cardiovascular",26.8692322400015,87.9473541226107,155.817002013467,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"46",5,4,1,"Communicable",-7.31934092414083,1.88203683111018,16.1533830124065,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"47",5,4,1,"Injuries",-3.8753783610381,7.69867825662956,23.6050496795683,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"48",5,4,1,"Non-communicable",13.7099319143763,29.4869485804125,47.0367605078192,"Female","Colorado",1972,"Mountain","West","CO","Colorado"
"49",5,5,0,"All other causes",26.4563945036422,57.3240068136068,101.216772328999,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"50",5,5,0,"Cancers",52.4560081677871,97.8510576068638,151.310278466196,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"51",5,5,0,"Cardiovascular",-111.097820355424,-47.7721120638793,26.6041173374505,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"52",5,5,0,"Communicable",0.349603320706717,28.0422365898597,62.4842170062231,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"53",5,5,0,"Injuries",3.52741011256726,22.5092371172371,46.5975165339758,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"54",5,5,0,"Non-communicable",-9.02405933834084,27.7804193261146,58.2223692339495,"Male","Colorado",1973,"Mountain","West","CO","Colorado"
"55",5,5,1,"All other causes",25.3382454977313,46.8340493290621,76.6624677110094,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"56",5,5,1,"Cancers",9.05613061332894,33.3001294290808,64.7970225049653,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"57",5,5,1,"Cardiovascular",10.1904613174712,64.9524640278562,128.99814728034,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"58",5,5,1,"Communicable",-7.87256602266028,1.32182688752932,14.4680931947676,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"59",5,5,1,"Injuries",-2.75108024091256,7.80979682647766,22.1740760004814,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"60",5,5,1,"Non-communicable",13.6613254680611,28.6322352003587,46.6531581793586,"Female","Colorado",1973,"Mountain","West","CO","Colorado"
"61",5,6,0,"All other causes",29.983092073895,57.6428040780914,97.4831432736422,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"62",5,6,0,"Cancers",51.9570621763683,93.1421639028074,144.145181195211,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"63",5,6,0,"Cardiovascular",-80.7652526824196,-14.4902262048989,48.436546039149,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"64",5,6,0,"Communicable",7.14655817627121,32.9084507818194,67.4795693488429,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"65",5,6,0,"Injuries",5.4127303744597,23.4433850137189,45.9939400793518,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"66",5,6,0,"Non-communicable",-7.22701829479952,25.6443479068407,53.2894254866031,"Male","Colorado",1974,"Mountain","West","CO","Colorado"
"67",5,6,1,"All other causes",28.0636469547128,50.1316632007636,79.1853173860201,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"68",5,6,1,"Cancers",9.25238379356291,31.8549980056258,60.751753614433,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"69",5,6,1,"Cardiovascular",27.9612995207654,77.272491741668,129.949041909667,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"70",5,6,1,"Communicable",-7.75113999149396,1.13443695463064,13.8563525359861,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"71",5,6,1,"Injuries",-1.94032894780414,8.69959034288955,22.0973019362138,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"72",5,6,1,"Non-communicable",12.1936750488924,27.1072374099347,43.6104948884742,"Female","Colorado",1974,"Mountain","West","CO","Colorado"
"73",5,7,0,"All other causes",34.8333321533628,60.4271298061953,94.115470909945,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"74",5,7,0,"Cancers",47.0023614198646,88.7584360434974,138.38959859042,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"75",5,7,0,"Cardiovascular",-54.1943937189443,5.79329411221686,70.8728427945367,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"76",5,7,0,"Communicable",4.64750166159986,30.6188322196274,66.1212897690675,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"77",5,7,0,"Injuries",4.56618560674012,22.3663282869417,45.259730495229,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"78",5,7,0,"Non-communicable",-6.90522114516049,25.2996939387937,53.6813397100188,"Male","Colorado",1975,"Mountain","West","CO","Colorado"
"79",5,7,1,"All other causes",32.8843463526676,56.3597752746562,82.389725262144,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
"80",5,7,1,"Cancers",9.31647913702709,31.2843076078934,58.8239900151599,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
"81",5,7,1,"Cardiovascular",38.2552779316472,88.20767995525,138.873773546005,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
"82",5,7,1,"Communicable",-9.15147604332384,-0.584407631465422,10.9817558765281,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
"83",5,7,1,"Injuries",-1.66219307619513,8.56531241191058,21.0814010541948,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
"84",5,7,1,"Non-communicable",11.7652622448298,26.6300177591565,41.9121619870481,"Female","Colorado",1975,"Mountain","West","CO","Colorado"
