"","state.n","year.n","race.n","sex.n","COD","race","sex","state","year","age.std.mortality.rate_LCL","age.std.mortality.rate_med","age.std.mortality.rate_UCL","Census_Division","Census_Region","stabbrs","rate.per.100k","state.reorder"
"1",9,1,0,0,"All other causes","White","Male","Florida",1969,143.481211825868,147.324460604809,151.188481485335,"South Atlantic","South","FL",147.324460604809,"Florida"
"2",9,1,0,0,"Cancers","White","Male","Florida",1969,233.986013135676,238.278739683025,242.840413042004,"South Atlantic","South","FL",238.278739683025,"Florida"
"3",9,1,0,0,"Cardiovascular","White","Male","Florida",1969,759.247069388494,770.1989874134,781.459185756866,"South Atlantic","South","FL",770.1989874134,"Florida"
"4",9,1,0,0,"Communicable","White","Male","Florida",1969,53.374227883957,56.2219261057336,59.5232374684007,"South Atlantic","South","FL",56.2219261057336,"Florida"
"5",9,1,0,0,"Injuries","White","Male","Florida",1969,124.313362355153,127.938125609475,131.675261644212,"South Atlantic","South","FL",127.938125609475,"Florida"
"6",9,1,0,0,"Non-communicable","White","Male","Florida",1969,91.5626326416262,94.187344568749,97.0134096041287,"South Atlantic","South","FL",94.187344568749,"Florida"
"7",9,1,0,1,"All other causes","White","Female","Florida",1969,94.1291860828444,97.0189631887716,99.9381662252715,"South Atlantic","South","FL",97.0189631887716,"Florida"
"8",9,1,0,1,"Cancers","White","Female","Florida",1969,145.101089723517,148.073728541479,150.974908105123,"South Atlantic","South","FL",148.073728541479,"Florida"
"9",9,1,0,1,"Cardiovascular","White","Female","Florida",1969,484.195576821108,492.139748192706,500.440565194406,"South Atlantic","South","FL",492.139748192706,"Florida"
"10",9,1,0,1,"Communicable","White","Female","Florida",1969,32.9859788403436,34.9133817995243,36.9152097267825,"South Atlantic","South","FL",34.9133817995243,"Florida"
"11",9,1,0,1,"Injuries","White","Female","Florida",1969,50.9206010894973,52.6539719865023,54.6964504920278,"South Atlantic","South","FL",52.6539719865023,"Florida"
"12",9,1,0,1,"Non-communicable","White","Female","Florida",1969,42.6031978234318,44.3163727317673,45.9960409517107,"South Atlantic","South","FL",44.3163727317673,"Florida"
"13",9,1,1,0,"All other causes","Black","Male","Florida",1969,309.424187762687,324.283057172965,340.299883219141,"South Atlantic","South","FL",324.283057172965,"Florida"
"14",9,1,1,0,"Cancers","Black","Male","Florida",1969,284.932766615243,297.885416890889,313.527932478194,"South Atlantic","South","FL",297.885416890889,"Florida"
"15",9,1,1,0,"Cardiovascular","Black","Male","Florida",1969,799.86331693449,829.331746685946,859.880225034595,"South Atlantic","South","FL",829.331746685946,"Florida"
"16",9,1,1,0,"Communicable","Black","Male","Florida",1969,124.697689044604,135.248049295943,146.530805804801,"South Atlantic","South","FL",135.248049295943,"Florida"
"17",9,1,1,0,"Injuries","Black","Male","Florida",1969,261.519671474591,274.611343745164,287.479798850785,"South Atlantic","South","FL",274.611343745164,"Florida"
"18",9,1,1,0,"Non-communicable","Black","Male","Florida",1969,109.085656281618,116.406309354678,124.94957360525,"South Atlantic","South","FL",116.406309354678,"Florida"
"19",9,1,1,1,"All other causes","Black","Female","Florida",1969,201.193597486141,211.018366674587,221.061607274557,"South Atlantic","South","FL",211.018366674587,"Florida"
"20",9,1,1,1,"Cancers","Black","Female","Florida",1969,150.219621561079,157.469095730913,165.157329459498,"South Atlantic","South","FL",157.469095730913,"Florida"
"21",9,1,1,1,"Cardiovascular","Black","Female","Florida",1969,633.224435680015,659.661980848423,685.578249883963,"South Atlantic","South","FL",659.661980848423,"Florida"
"22",9,1,1,1,"Communicable","Black","Female","Florida",1969,62.6737226733288,69.2872186273946,76.8513710580085,"South Atlantic","South","FL",69.2872186273946,"Florida"
"23",9,1,1,1,"Injuries","Black","Female","Florida",1969,68.3870654437062,73.6430742446139,78.8887814149657,"South Atlantic","South","FL",73.6430742446139,"Florida"
"24",9,1,1,1,"Non-communicable","Black","Female","Florida",1969,93.0664695855877,99.3132265029883,106.319638303738,"South Atlantic","South","FL",99.3132265029883,"Florida"
