State,le.black,le.white,le.gap,le.gap.ci,year,sex
Alabama,64.3,71.2,6.9,"(6.5,7.3)",1990,Male
Alaska,73.9,73.2,-0.6,"(-3.8,2.5)",1990,Male
Arizona,67.8,73.1,5.3,"(4.4,6.2)",1990,Male
Arkansas,64.1,71.5,7.4,"(6.8,7.9)",1990,Male
California,65.7,72.4,6.7,"(6.4,7.0)",1990,Male
Colorado,68.9,73.9,5,"(4.1,5.8)",1990,Male
Connecticut,66.4,74.4,8,"(7.2,8.7)",1990,Male
Delaware,65.7,73,7.3,"(6.3,8.3)",1990,Male
Washington DC,57.4,71.8,14.4,"(13.3,15.4)",1990,Male
Florida,64.3,73.2,9,"(8.6,9.3)",1990,Male
Georgia,64.1,71.5,7.4,"(7.0,7.7)",1990,Male
Hawaii,82.1,73.7,-8.5,"(-18.9,-2.0)",1990,Male
Illinois,62,72.7,10.8,"(10.4,11.1)",1990,Male
Indiana,65.5,72.3,6.8,"(6.3,7.3)",1990,Male
Iowa,67.6,74,6.4,"(5.3,7.6)",1990,Male
Kansas,66.7,73.7,7,"(6.2,7.8)",1990,Male
Kentucky,66.3,71,4.7,"(4.1,5.2)",1990,Male
Louisiana,63.6,71.2,7.6,"(7.2,8.0)",1990,Male
Maine,70.7,73.1,2.4,"(-0.7,5.9)",1990,Male
Maryland,65,73.2,8.2,"(7.8,8.6)",1990,Male
Massachusetts,68.4,73.5,5.1,"(4.4,5.8)",1990,Male
Michigan,63.8,73,9.2,"(8.9,9.6)",1990,Male
Minnesota,66.7,74.7,8,"(7.0,9.1)",1990,Male
Alabama,68.1,73,4.9,"(4.5,5.2)",2009,Male
Alaska,75.1,77,1.9,"(-1.5,4.4)",2009,Male
Arizona,74.9,77.9,3,"(2.1,3.8)",2009,Male
Arkansas,67.8,73.5,5.6,"(5.1,6.1)",2009,Male
California,72.1,77.7,5.6,"(5.3,5.8)",2009,Male
Colorado,73.8,77.4,3.6,"(2.9,4.4)",2009,Male
Connecticut,74,77.8,3.8,"(3.0,4.5)",2009,Male
Delaware,71.8,76,4.2,"(3.3,5.2)",2009,Male
Washington DC,66,80.8,14.7,"(13.7,15.7)",2009,Male
Florida,72.4,77.2,4.7,"(4.4,5.0)",2009,Male
Georgia,71.1,75.4,4.3,"(4.0,4.6)",2009,Male
Hawaii,83.7,75.3,-8.4,"(-18.8,-2.8)",2009,Male
Illinois,69.4,76.9,7.5,"(7.2,7.8)",2009,Male
Indiana,69.8,74.9,5.2,"(4.7,5.7)",2009,Male
Iowa,71,76.8,5.8,"(4.8,6.8)",2009,Male
Kansas,69.7,76,6.3,"(5.5,7.0)",2009,Male
Kentucky,69.9,73.2,3.3,"(2.8,3.9)",2009,Male
Louisiana,68.1,73.8,5.7,"(5.3,6.1)",2009,Male
Maine,71.9,76.1,4.2,"(1.2,6.9)",2009,Male
Maryland,71.1,76.7,5.6,"(5.3,6.0)",2009,Male
Massachusetts,75.2,77.6,2.4,"(1.7,3.0)",2009,Male
Michigan,68.9,76.2,7.3,"(6.9,7.6)",2009,Male
Minnesota,73.7,78.5,4.7,"(3.7,5.7)",2009,Male
Alabama,3.9,1.8,-2,"(-2.6,-1.5)",difference,Male
Alaska,1.3,3.7,2.5,"(-1.8,5.8)",difference,Male
Arizona,7.1,4.8,-2.3,"(-3.6,-1.0)",difference,Male
Arkansas,3.7,2,-1.8,"(-2.5,-1.0)",difference,Male
California,6.4,5.2,-1.1,"(-1.6,-0.7)",difference,Male
Colorado,4.9,3.6,-1.3,"(-2.4,-0.2)",difference,Male
Connecticut,7.6,3.4,-4.2,"(-5.3,-3.2)",difference,Male
Delaware,6.1,3.1,-3,"(-4.4,-1.7)",difference,Male
Washington DC,8.6,9,0.4,"(-1.1,1.8)",difference,Male
Florida,8.2,3.9,-4.2,"(-4.7,-3.8)",difference,Male
Georgia,7,3.9,-3,"(-3.5,-2.6)",difference,Male
Hawaii,1.5,1.6,0.1,"(-10.4,9.6)",difference,Male
Illinois,7.4,4.1,-3.3,"(-3.8,-2.8)",difference,Male
Indiana,4.3,2.6,-1.6,"(-2.3,-0.9)",difference,Male
Iowa,3.4,2.8,-0.6,"(-2.1,0.8)",difference,Male
Kansas,3.1,2.3,-0.8,"(-1.9,0.3)",difference,Male
Kentucky,3.5,2.2,-1.3,"(-2.1,-0.6)",difference,Male
Louisiana,4.5,2.6,-1.9,"(-2.4,-1.3)",difference,Male
