"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"State"	"State Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	365	1177469	31.0	32.3
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	342	1202879	28.4	31.4
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	399	1001033	39.9	42.4
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	354	1580377	22.4	23.7
	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	358	1234134	29.0	31.6
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	2660	8288635	32.1	28.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	2173	5410896	40.2	34.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	1379	4387592	31.4	27.1
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	1611	6181876	26.1	21.0
	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	2292	5626100	40.7	37.3
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	1066	1134641	94.0	100.4
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1005	1110039	90.5	103.1
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1219	882914	138.1	147.6
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	998	1345900	74.2	77.8
	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	954	1149221	83.0	92.9
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	5856	8101479	72.3	70.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	4443	5141610	86.4	82.0
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	2788	4165065	66.9	68.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	3039	5802855	52.4	52.2
	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	4441	5443239	81.6	84.1
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	329	1185531	27.8	29.2
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	342	1226416	27.9	30.3
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Illinois"	"17"	382	1005955	38.0	40.0
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"New York"	"36"	302	1595038	18.9	19.9
	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	"Texas"	"48"	380	1246994	30.5	33.0
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"California"	"06"	2404	8285504	29.0	25.0
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Florida"	"12"	2171	5431826	40.0	33.7
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Illinois"	"17"	1315	4371908	30.1	25.6
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"New York"	"36"	1444	6173740	23.4	18.6
	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	"Texas"	"48"	2306	5633507	40.9	37.4
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"California"	"06"	1094	1141049	95.9	98.8
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Florida"	"12"	1027	1131732	90.7	100.4
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Illinois"	"17"	1147	887375	129.3	138.0
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"New York"	"36"	937	1357718	69.0	72.5
	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	"Texas"	"48"	978	1162737	84.1	90.4
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"California"	"06"	5491	8089188	67.9	65.6
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Florida"	"12"	4678	5159650	90.7	86.6
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Illinois"	"17"	2733	4152081	65.8	66.8
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"New York"	"36"	2822	5785942	48.8	48.6
	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	"Texas"	"48"	4446	5456708	81.5	83.6
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"California"	"06"	332	1191023	27.9	29.0
	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	"Florida"	"12"	344	1265081	27.2	29.5
