"state.n" "year.n" "race.n" "sex.n" "COD" "race" "sex" "state" "year" "Census_Division" "Census_Region" "stabbrs" "rate.per.100k_LCL" "rate.per.100k" "rate.per.100k_UCL"
"1" 20 1 0 0 "All other causes" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 133.648517335219 139.049978636549 139.049978636549
"2" 20 1 0 0 "Cancers" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 269.474770714972 277.62897360844 277.62897360844
"3" 20 1 0 0 "Cardiovascular" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 907.602176006392 929.223664539463 929.223664539463
"4" 20 1 0 0 "Communicable" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 55.7147292642974 60.4529216594973 60.4529216594973
"5" 20 1 0 0 "Injuries" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 99.4338756074438 103.93911995721 103.93911995721
"6" 20 1 0 0 "Non-communicable" "White" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 107.843270339395 112.970307003779 112.970307003779
"7" 20 1 0 1 "All other causes" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 88.319661311394 91.9493812148933 91.9493812148933
"8" 20 1 0 1 "Cancers" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 166.938302174535 172.001498256424 172.001498256424
"9" 20 1 0 1 "Cardiovascular" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 598.897644763066 613.044610429189 613.044610429189
"10" 20 1 0 1 "Communicable" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 30.3354086807345 32.6386733951467 32.6386733951467
"11" 20 1 0 1 "Injuries" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 36.0960030534103 38.0809429374122 38.0809429374122
"12" 20 1 0 1 "Non-communicable" "White" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 56.7960663528218 59.6681301072865 59.6681301072865
"13" 20 1 1 0 "All other causes" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 231.970497934233 245.61160006899 245.61160006899
"14" 20 1 1 0 "Cancers" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 331.218323033688 350.139567616848 350.139567616848
"15" 20 1 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 872.669990113897 916.426502847963 916.426502847963
"16" 20 1 1 0 "Communicable" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 100.935157532763 114.451776039575 114.451776039575
"17" 20 1 1 0 "Injuries" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 176.449117498395 187.29418308646 187.29418308646
"18" 20 1 1 0 "Non-communicable" "Black" "Male" "Maryland" 1969 "South Atlantic" "South" "MD" 145.159307184179 156.597413585982 156.597413585982
"19" 20 1 1 1 "All other causes" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 144.410470521778 153.744969162965 153.744969162965
"20" 20 1 1 1 "Cancers" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 189.644197496289 199.332924426027 199.332924426027
"21" 20 1 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 670.774502440196 703.625298936953 703.625298936953
"22" 20 1 1 1 "Communicable" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 41.0894284346553 47.972043793266 47.972043793266
"23" 20 1 1 1 "Injuries" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 43.7288541274229 48.9867516065388 48.9867516065388
"24" 20 1 1 1 "Non-communicable" "Black" "Female" "Maryland" 1969 "South Atlantic" "South" "MD" 112.887681508714 121.486225413427 121.486225413427
"25" 20 2 0 0 "All other causes" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 131.572888469444 136.204241446551 136.204241446551
"26" 20 2 0 0 "Cancers" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 273.257001182704 280.103010324718 280.103010324718
"27" 20 2 0 0 "Cardiovascular" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 897.562511326903 916.384406539252 916.384406539252
"28" 20 2 0 0 "Communicable" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 58.2373756729901 62.9514322223967 62.9514322223967
"29" 20 2 0 0 "Injuries" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 98.4316460106891 102.260876603649 102.260876603649
"30" 20 2 0 0 "Non-communicable" "White" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 109.317400401738 113.788854460182 113.788854460182
"31" 20 2 0 1 "All other causes" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 86.8141566566832 89.7945738238184 89.7945738238184
"32" 20 2 0 1 "Cancers" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 166.443553357017 170.711952084383 170.711952084383
"33" 20 2 0 1 "Cardiovascular" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 579.883458624332 593.428871601395 593.428871601395
"34" 20 2 0 1 "Communicable" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 30.3659711936234 32.4253685690981 32.4253685690981
"35" 20 2 0 1 "Injuries" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 36.0806148102896 37.8732626930201 37.8732626930201
"36" 20 2 0 1 "Non-communicable" "White" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 55.8052290568197 58.4205358085295 58.4205358085295
"37" 20 2 1 0 "All other causes" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 231.311090358429 243.966835702915 243.966835702915
"38" 20 2 1 0 "Cancers" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 336.072118563687 351.809946434621 351.809946434621
"39" 20 2 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 860.010717983896 894.39893550805 894.39893550805
"40" 20 2 1 0 "Communicable" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 97.3493447935635 108.035319760105 108.035319760105
"41" 20 2 1 0 "Injuries" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 176.730311345615 186.266174102228 186.266174102228
"42" 20 2 1 0 "Non-communicable" "Black" "Male" "Maryland" 1970 "South Atlantic" "South" "MD" 147.940136474882 157.880667340988 157.880667340988
"43" 20 2 1 1 "All other causes" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 143.388389457872 151.319502557547 151.319502557547
"44" 20 2 1 1 "Cancers" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 190.117829568549 198.383177065014 198.383177065014
"45" 20 2 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 651.435659457678 679.03678763606 679.03678763606
"46" 20 2 1 1 "Communicable" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 39.4123034542528 45.0171762592423 45.0171762592423
"47" 20 2 1 1 "Injuries" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 43.5496082133818 48.4071355511136 48.4071355511136
"48" 20 2 1 1 "Non-communicable" "Black" "Female" "Maryland" 1970 "South Atlantic" "South" "MD" 111.268567757694 119.486466617754 119.486466617754
"49" 20 3 0 0 "All other causes" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 127.25685362639 132.002938296596 132.002938296596
"50" 20 3 0 0 "Cancers" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 273.603251495568 280.334044799122 280.334044799122
"51" 20 3 0 0 "Cardiovascular" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 880.756089535035 898.44497047559 898.44497047559
"52" 20 3 0 0 "Communicable" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 55.3769036036266 59.4968498128384 59.4968498128384
"53" 20 3 0 0 "Injuries" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 96.058239327535 99.2430804837953 99.2430804837953
"54" 20 3 0 0 "Non-communicable" "White" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 111.326790763776 115.64437519836 115.64437519836
"55" 20 3 0 1 "All other causes" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 84.1630145680471 87.1659592838179 87.1659592838179
"56" 20 3 0 1 "Cancers" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 166.796241338758 170.596014486691 170.596014486691
"57" 20 3 0 1 "Cardiovascular" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 552.396069744874 564.510411454437 564.510411454437
"58" 20 3 0 1 "Communicable" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 28.9928524537436 30.87313292502 30.87313292502
"59" 20 3 0 1 "Injuries" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 35.7282345313296 37.3097360381924 37.3097360381924
"60" 20 3 0 1 "Non-communicable" "White" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 54.6104666087204 56.9105786474184 56.9105786474184
"61" 20 3 1 0 "All other causes" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 225.843050283534 237.672127834404 237.672127834404
"62" 20 3 1 0 "Cancers" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 339.458466505319 354.223383174972 354.223383174972
"63" 20 3 1 0 "Cardiovascular" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 828.274284564336 860.665168265061 860.665168265061
"64" 20 3 1 0 "Communicable" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 86.2854204795534 95.7690600913369 95.7690600913369
"65" 20 3 1 0 "Injuries" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 175.065285772343 184.903341012987 184.903341012987
"66" 20 3 1 0 "Non-communicable" "Black" "Male" "Maryland" 1971 "South Atlantic" "South" "MD" 147.577820268674 158.357338727791 158.357338727791
"67" 20 3 1 1 "All other causes" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 139.797750304158 146.319839461448 146.319839461448
"68" 20 3 1 1 "Cancers" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 190.393102848781 198.221738798962 198.221738798962
"69" 20 3 1 1 "Cardiovascular" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 631.088676244166 655.611796381601 655.611796381601
"70" 20 3 1 1 "Communicable" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 37.1886420464821 42.2506856240054 42.2506856240054
"71" 20 3 1 1 "Injuries" "Black" "Female" "Maryland" 1971 "South Atlantic" "South" "MD" 43.2425066529282 47.7876077420371 47.7876077420371
