"","stratum.id","Census_Region","Census_Division","stabbrs","state","year","sex","X","COD","COD_cont_yrs_lcl","COD_cont_yrs_med","COD_cont_yrs_ucl","COD_cont_yrs_mean","COD_cont_prop_lcl","COD_cont_prop_med","COD_cont_prop_ucl","COD_cont_prop_mean"
"1","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",1,"All other causes",2.41737301643629,2.69792680233826,2.9863796018559,2.69898722264512,0.316187807161919,0.346631890145867,0.374698260983555,0.346294235643063
"2","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",2,"Cancers",0.310266960228209,0.415354408257617,0.528972813749143,0.41525583830097,0.040475127912263,0.0533019398874685,0.0678196347215227,0.0532805517201759
"3","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",3,"Cardiovascular",2.6712709491104,2.94706008356083,3.21261824871923,2.94362054225401,0.349722249308223,0.377786749909774,0.406604401124568,0.377737905371854
"4","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",4,"Communicable",0.5637601592308,0.689099923649463,0.821178393039014,0.689402683183207,0.0736220746359465,0.088462334236314,0.105220336459734,0.0884501424809705
"5","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",5,"Injuries",0.340213410932266,0.46444636227642,0.601742911188979,0.469477889340146,0.0441578987831788,0.0597502101752782,0.07630705676377,0.0602152259707182
"6","Alabama.1969.Female","South","East South Central","AL","Alabama",1969,"Female",6,"Non-communicable",0.493261951582404,0.575334445906674,0.664555050964071,0.576579483285339,0.0631283332669306,0.0736929576998952,0.0853610878363871,0.0740219388132179
"7","Alabama.1969.Male","South","East South Central","AL","Alabama",1969,"Male",7,"All other causes",2.16994577898855,2.42723676030606,2.69111187377514,2.43203379195021,0.309245865436171,0.340481262262131,0.372237759922879,0.34042599698584
"8","Alabama.1969.Male","South","East South Central","AL","Alabama",1969,"Male",8,"Cancers",0.0948890622613404,0.197299337405077,0.297599359570354,0.197890812189589,0.0135605133048947,0.0275989013525412,0.0410892830146594,0.0276643837055465
"9","Alabama.1969.Male","South","East South Central","AL","Alabama",1969,"Male",9,"Cardiovascular",0.721270447173388,0.937804347927209,1.15080344717075,0.935765774754016,0.103271780742763,0.131194398700171,0.157114215664049,0.130892938057014
"10","Alabama.1969.Male","South","East South Central","AL","Alabama",1969,"Male",10,"Communicable",0.953833079828769,1.10933425810143,1.27014654076586,1.11290000681698,0.134728850225518,0.155341626136832,0.178098220317433,0.155807666383706
"11","Alabama.1969.Male","South","East South Central","AL","Alabama",1969,"Male",11,"Injuries",2.01258761852703,2.27324746645877,2.55057053679082,2.27577393871437,0.288653322719119,0.318147978841316,0.351381330765684,0.318468085751697
